Homes,Destinations,Distance (KM)
WF2 0SS,WF2 0XG,2.62
SE26 6LT,BR3 1EA,5.74
PO6 3NJ,PO1 1HG,7.66
B27 6NP,B27 6BH,1.14
ML5 5TA,G31 4EB,13.9
W3 7DQ,W5 5JY,4.46
M40 2FR,M11 1DA,4.66
B44 0RA,B5 4BF,11.41
CF34 0RL,CF34 9BT,3.07
B63 2NA,B63 4AJ,4.43
CF82 7PL,CF83 1NU,8.93
NG9 2AB,NG9 2LF,1.1
SY23 3ES,SY23 1DE,8.08
TR15 1PA,TR1 2RL,15.21
PL1 4HL,PL1 1NW,3.86
PE21 8JN,PE21 6EE,2.95
DN5 0DG,DN1 1TA,4.36
N13 6LB,N22 6YA,2.77
TS14 6LP,TS14 6AF,1.75
HU7 6AG,HU3 4EH,9.06
DL6 2QG,DL7 8PP,2.42
PO16 8NR,PO16 9XB,0.77
IV2 3AH,IV2 7GD,3.42
B37 6JQ,B24 9FP,10.13
BB9 0JS,BB9 9SL,1.05
BL2 5AW,BL4 9DS,5.02
NE31 2LX,DH3 3BA,14.24
DE222GN ,DE22 2QQ,1.33
EN7 6HS,EN8 7BZ,4.74
KY2 6NL,KY1 1NU,4.56
ML6 6GB,ML6 6DB,2.63
ME8 8DG,ME8 7HW,0.94
HD9 5LS,HD1 2QB,9.94
S70 5BQ,S70 1SL,3.24
HA2 6PY,HA1 1LA,2.12
DD6 9BG,DD1 2AZ,6.7
GU15 4AA,GU15 3SN,2.56
B36 9EN,B91 3BG,22.54
B26 3UT,B91 3SW,6.39
CA28 8NX,CA28 7JN,2.91
SS14 1NA,SS14 1BX,1.11
PL2 1PH,PL1 1RW,3.88
SE15 3XU,SE15 5EW,1.09
G22 6SW,G2 3EF,4.43
DE4 5QB ,DE5 3AG,8.3
RM15 5DS,RM20 2ZP,4.61
EN8 8DB,EN8 7BZ,1.2
NE39 2NN,NE11 9YZ,10.14
BT51 3BA,BT52 2DP,-1.0
NP20 4NT,NP19 4TX,6.36
S40 2SD,S40 1RR,2.99
SA1 7AH,SA1 3AF,4.27
SP10 2AG,SP10 1LT,1.41
S42 5TN,S40 1PP,-1.0
BN27 3EB,BN27 1DP,0.92
TS3 0AX,TS6 0AB,5.09
LS13 1JN,LS2 8LQ,9.16
G33 5PG,G31 4EB,5.8
L32 8SZ,L32 8RH,1.33
FY5 3TR,FY6 7BA,5.52
FY5 4HB,BN12 4AP,473.46
GU21 4AJ,GU21 6XX,1.66
G72 9EB,G74 1JU,9.05
CW7 2EL,CW7 1BA,1.33
B97 6LZ,B97 4EX,3.67
NE23 1HJ,NE24 1AH,10.97
WF17 6PN,WF13 1NH,3.23
ST2 9DB,ST3 2JA,6.2
NE21 6SW,NE11 9XZ,4.85
PR2 1sy,PR1 8HJ,3.84
DE22 3UT,DE1 2AL,2.2
WF12 7EG,LS11 8LL,8.25
LS10 4LP,LS11 8LL,4.23
ML3 7SH,ML3 7DZ,3.1
SW18 4BE,SW18 4TF,1.82
M4 5DR,M4 3AB,3.49
BT42 2EU,BT43 6AH,-1.0
OX26 6PX,OX26 6JF,0.7
TS16 0BL,TS17 7BW,6.04
RM16 2HH,RM20 2ZP,5.02
M9 5GB,M4 3AB,5.85
BT43 7AH,BT43 6UF,-1.0
CT17 9PQ,DA9 9SJ,93.43
RG2 8TP,RG1 2AA,6.05
DD1 5QG,DD1 2AZ,1.97
BS15 4SD,BS15 8LP,2.09
FK3 0JA,FK3 8AS,2.98
HU36AB,HU3 4EH,1.41
WF1 4QA,WF2 0XG,5.28
BT60 1PH,BT61 7DF,10.82
NG5 5GQ,NG5 7EB,3.99
CM8 1ND,CM8 2AP,1.32
WD25 9AJ,WD24 7RT,2.58
DH5 9DX,NE38 7SA,12.04
BA21 4RS,BA20 1RE,2.04
RM9 6AU,IG1 1DS,8.19
CF64 1AR,CF64 1JD,0.64
DN17 2DH,DN16 2SN,1.62
G81 2PW,G14 0YU,4.99
G83 9LL,G82 1LL,5.54
DY5 1HJ,DY5 3AH,1.86
ML6 6HS,ML6 6DB,1.41
NG16 1LB,DE55 4HQ,18.81
TS102JJ,TS14 6AF,9.9
DN14 6JD,DN14 5EZ,0.75
WF3 2DJ,WF2 0XG,3.61
S62 6AW,S65 1AG,3.75
B33 9LJ,B37 5TP,4.32
B37 7LB,B37 5TP,1.45
WF3 4AY,WF2 0XG,8.97
WF1 5TE,WF2 0XG,9.75
IV6 7XL,IV2 3PP,21.98
NG5 7GQ,NG5 7EB,1.42
BT42 3DS,BT43 6UF,-1.0
DD3 0ET,DD1 2AZ,4.21
DD4 8XP,DD1 2AZ,3.51
N22 6LP,N22 6YA,0.53
B92 0PE,B91 3SW,3.63
CF44 0SG,CF72 8SY,32.68
G33 5AR,G34 9DL,1.61
NG19 9SB,NG18 1SU,4.58
CA28 8NX,CA28 7JN,2.91
IV35AW,IV2 3PP,2.71
PA2 7FN,G2 8AH,15.03
DN14 5DT,DN14 5EZ,0.62
B93 5HJ,CV6 6AS,617.16
G67 3PG,G67 1JW,4.08
WA10 3XJ,WF2 0XG,109.94
WF3 4JT,WF2 0XG,5.24
BT49 9QJ,BT48 7PX,-1.0
BT49 0UL,BT49 0AA,-1.0
PR7 4JS,PR1 8HJ,23.91
DY9 8XX,DY5 1SW,5.59
CV11 6ND,CV11 4EL,3.77
ML1 5HE,ML1 1RB,4.98
CF36 5EW,CF36 3AP,2.79
BS16 4SR,BS16 2EA,3.15
DY11 6PP,DY10 1AA,1.81
ME12 2BB,ME12 1UB,1.01
NR31 8SH,NR31 6QX,2.96
L19 5NW,L18 1LG,4.49
CF15 8FY,CF11 9AH,6.79
S72 0HB,S73 8DA,5.94
SA13 1AX,SA13 1PB,1.31
CM20 1NP,CB7 4ZH,86.41
FY7 6RD,FY5 1BU,7.24
BN14 9EG,BN13 3PB,6.08
NE10 8BD,NE4 8BE,10.96
IP22 4GL,IP22 4AD,2.43
WF12 8DL,WF2 0XG,10.72
YO8 9QG,WF2 0XG,33.51
HD9 5LS,BD1 1US,30.65
BT43 7EB,WF2 0XG,-1.0
PL3 6DW,PL1 1NW,3.91
TQ12 4BB,TQ12 2DT,1.81
CH43 9AD,CH41 2XX,4.43
LL19 7RE,LL19 9BJ,1.52
TN35 5LU,TN34 1NY,2.46
SY11 2YA,SY11 1PU,1.84
CF64 5RQ,CF11 8AZ,8.71
PE2 5JY,PE2 5TD,3.82
WV14 9BJ,WV11 1BP,7.89
WS3 4LW,WS8 6EQ,3.94
WF1 2AZ,WF2 0XG,3.18
B64 7EF,B63 4AJ,4.4
NG11 8JS,NG11 8AA,1.2
GL5 0QR,GL5 1AS,-1.0
B6 6QU,WS1 1NG,18.56
SR8 2NJ,SR8 1AE,2.57
DY2 7RD,DY1 1PJ,1.31
DA8 1SB,DA1 2AR,6.26
LE3 6QT,LE1 1DA,5.35
ST2 7JX,ST1 1PF,5.32
CA28 9NW,CA28 7JN,2.1
PO9 4As,PO9 1UW,2.87
S60 8FB,S8 8BS,10.59
LE13 0DW,LE13 0TP,1.82
TS10 1BH,TS10 3FB,0.84
GU515EH,GU51 3LA,2.6
PO16 8EU,PO2 0LN,9.18
DL10 5NQ,DL9 3EN,16.69
NG20 9DQ,S80 1DT,-1.0
CT12 6BJ,CT11 9AG,1.97
NE31 2BP,NE32 3LW,2.87
DN33 3TF,DN35 8HF,7.09
NE37 2EJ,NE11 9YZ,14.75
DE22 2QA,DE22 2QQ,0.73
NE23 2QB,NE1 7AF,16.08
SR7 9EN,SR7 7DR,7.57
NE16 4BA,NE11 9XZ,2.81
CF3 0LE,CF10 2DP,10.36
WV11 3DN,WV11 1BP,3.3
HR9 5RT,HR9 7DZ,3.21
WS13 7PL,WS15 2BD,-1.0
DN35 8PS,DN35 8HF,0.61
OL2 7QA,OL2 5QD,3.71
BR1 3TW,BR1 1JQ,3.2
BN13 2LB,BN12 4AP,4.25
B77 2JW,B79 7HL,3.58
L13 5TZ,L24 9SW,-1.0
CF44 8PP,CF44 7DG,2.71
SW16 4QB,CR0 1UY,5.09
NG18 5LX,NG18 1SU,1.81
ME8 6DQ,ME7 3PB,6.01
NR33 8AJ,NR32 1LR,5.87
NE29 6XA,NE26 2TP,6.2
RH15 8NB,RH15 9NP,1.59
CH4 7DX,CH1 3JJ,3.2
G69 0PN,ML6 6DB,-1.0
IP11 2BX,IP11 7BE,1.21
EX4 2NY,EX4 3DJ,4.19
HU3 1JZ,HU1 3JA,2.7
WA8 7BU,WA8 7TN,1.91
TQ33GB,TQ1 1ET,9.25
PA2 8AD,KA12 8EH,33.72
WV10 9DG,WV1 3HG,5.26
BN20 8TS,BN21 3NW,3.85
L26 9UQ,L26 0AD,0.63
NP23 7RP,NP22 3EJ,10.15
L37 6BS,PR8 1DF,15.76
BH11 8SW,BH21 1ED,9.75
KT12 3QS,KT12 1BZ,3.87
B65 0AY,B65 0DU,0.98
DY2 9LU,DY5 1SW,4.27
CF44 7BL,CF44 7DG,0.51
LS10 4SY,LS1 6AW,7.47
SY23 3SG,SY23 1DE,3.15
HA1 1XE,HA1 1LA,1.77
WN5 0TT,WN1 1UE,2.68
PR9 8FZ,PR8 1DF,12.22
TS10 4HS,TS1 1TB,14.55
G15 8AB,G2 8AH,12.8
PR6 9RX,PR1 2EN,21.98
G21 4YS,G51 4BN,14.78
G22 6BN,G51 4BN,15.0
L8 4RX,L1 4DJ,3.23
FY7 6UH,FY7 6LY,0.82
PA2 7PS,PA1 1EL,2.84
HA2 7LD,HA1 1LA,2.22
ME12 1QL,ME12 1UB,0.62
WF4 3DZ,LS11 8LL,19.92
RG1 6EA,RG1 2AA,2.96
BN1 9JR,BN1 4JA,3.58
G66 2AN,G66 1HW,2.32
DG9 7HP,DG9 7ED,0.7
BT19 7XE,BT20 5AG,-1.0
PL9 7FQ,PL1 1NW,4.81
BD10 8ES,BD8 9TP,6.38
EH35 5NE,EH15 3RD,15.93
LS9 9BR,LS1 6AW,2.77
DA8 3PY,DA6 7HF,4.71
BD21 4RL,BD21 3PS,-1.0
PE3 7BS,PE3 8DN,2.4
LS8 4EE,LS11 8LL,10.55
EH22 4PU,EH22 1HR,4.04
SM1 2EG,CR0 1UY,8.62
PL7 1UL,WF2 0XG,502.35
SG6 1RW,SG5 1LS,6.07
FY3 8FG,FY1 1EJ,4.57
da8 2bq,DA8 1RG,0.71
SG1 5NT,SG1 1EA,3.25
SA15 2LN,SA15 1SH,2.25
PE21 0JR,PE21 9BD,0.75
PR7 4JS,PR25 2SA,14.43
DL3 8QU,DL1 4PJ,6.51
EX8 4QD,EX8 1HW,2.68
NE37 2QE,NE38 7SA,3.76
SA1 2PG,SA1 7BP,1.81
B37 7UA,B34 7EH,4.67
KA1 3TB,KA1 1NP,3.66
WS11 6XR,WS11 1EB,1.43
NE27 0RL,WF2 0XG,173.05
PA5 8RS,G53 6QR,14.01
DL1 1EG,DL1 4PJ,2.11
DL14 2AE,DL1 4PJ,-1.0
SS8 9TQ,SS17 7LL ,18.88
BT48 0PN,BT48 6XY,-1.0
NG6 0AE,NG1 2NX,5.98
SG5 2SB,SG5 1LS,1.49
DN16 1SD,DN15 6SE,4.17
M5 5GA,M30 0EA,3.29
NR10 3FR,WF2 0XG,268.06
DN16 1DU,DN15 8NN,5.49
NG11 9JU,NG11 8AA,0.76
CF63 4JT,CF10 2GR,14.86
EX17 3BH,EX4 3PZ,12.24
L17 3AF,L18 1LG,2.0
BL9 5EA,BL9 0QF,2.0
TW13 5JU,TW13 4AU,2.67
NE38 0HT,NE11 9YZ,13.0
DY4 0DD,WV14 0AX,4.35
BS4 4SE,BS4 2 QU,182.9
EH15 3HU,EH16 5PB,3.85
LS21 2EY,LS21 3NX,2.32
WS8 7LG,WS12 1BT,7.71
CF83 1RA,WF2 0XG,353.36
HG2 7LJ,HG1 1RX,3.99
B26 3RH,B26 3JB,1.85
YO25 5BR,YO25 6QG,1.6
BT19 6ZJ,BT19 7HB,-1.0
LU7 0DB,LU7 1DH,4.94
M46 0DZ,WN7 4PG,5.47
BL4 8JD,M27 4BH,5.26
NE35 9HB,SR1 3LE,12.6
NN1 5SS,NN1 2EB,1.41
CW1 3BL,CW1 2RP,1.52
OX26 6AG,OX26 6JF,0.26
ME8 7XE,ME8 7HW,2.76
B90 3QQ,B90 3AH,1.55
AB16 6WG,AB11 5EJ,7.68
PE25XJ,WF2 0XG,179.92
ST6 8BQ,CW12 1BA,13.44
TR1 1QZ,TR1 2RL,2.08
FY3 9SQ ,FY4 1AB,2.98
HG4 3NS,HG4 1NZ,8.57
HU9 4PG,HU7 4EE,5.84
G77 6ET,G77 6AA,2.51
TS6 0BJ,TS6 0AB,0.77
EN10 6RW,SG12 9BA,14.18
BL8 2QU,BL2 6PP,6.55
BB10 3BU,BB1 7JB,20.32
B36 0AB,B34 7EH,0.33
B68 8SP,B4 7TE,9.39
B64 6LQ,B69 3DD,5.89
WD6 5LX,WD6 1AG,2.3
PO33 2JB,PO33 2HT,0.27
UB5 5SQ,UB6 0UW,4.71
PE20 3RQ,PE21 6EE,12.51
B17 0PY,B17 9NR,2.45
ST6 3AE,ST6 6BE,1.8
PE21 7SG,PE21 6EE,3.7
NR3 3LB,NR3 1DZ,2.49
S71 4LD,S70 1SL,8.53
CO15 3JD,CO15 4TL,3.53
ME6 5PY,DA9 9SJ,25.47
IG7 5BP,IG6 2AF,3.48
DN21 1TF,DN21 2NA,1.67
SK16 5DP,M22 5RF,24.72
SA14 9ST,SA15 1SH,7.11
BA21 5PD,BA20 1RE,2.89
TF3 2DN,TF3 4AE,1.53
ME13 7NL,ME13 7AA,1.6
WS8 7JG,WS8 6EQ,0.64
AL9 7ND,AL8 6HA,9.88
S42 5UD,S45 9NG,2.99
LS27 7BY,LS27 9BP,4.5
B37 7UH,B37 5TP,1.23
OL6 6RB,OL6 7JE,2.19
CH5 4YH,CH5 4UQ,0.86
G73 3LR,G2 8AH,6.62
SN14 0AD,SN15 3JP,2.54
HU6 9TL,HU1 3JA,6.97
SE9 6QD,SE9 1TD,0.98
RM3 8PL,RM1 3RL,3.96
E16 3JN,E10 5NH,10.44
OX26 6DP,OX26 6JF,0.19
BS16 4RH,BS15 8LP,1.53
PE29 1TN,PE29 3PN,1.75
CM18 6HG,CM20 1EY,2.28
ML1 3RJ,ML1 1RB,1.68
ML1 1DU,ML1 1RB,1.87
SR7 0JY,SR7 7DR,7.51
HD8 0EE,HD1 2RS,7.08
IP1 5HD,IP1 3EE,2.86
YO26 4RR,YO24 3BL,1.42
TF1 5FL,TF3 4AE,6.81
DL13 4LR,DL14 9FA,18.43
NE38 7LN,SR5 3XG,7.42
LL57 1TE,LL57 1NW,2.93
DL6 1SR,DL7 8PP,1.45
CR5 2BU,CR0 1UY,8.06
CA14 1WU,CA14 3DU,2.55
SO18 5BX,SO14 7NN,5.6
SO41 0GS,BH25 6HY,2.62
CR4 3NF,SM1 1JQ,7.17
SS2 5AS,SS1 1LL,1.93
SS0 9EE,SS1 1DQ,2.91
RH10 7EQ,RH10 1ES,4.07
B31 2TX,B29 5QL,5.29
B31 4LP,B30 1JA,5.26
NE6 2NP,NE1 7XG,6.41
FY7 7PD,FY7 6LY,3.22
CF11 8DX,CF10 2DP,4.11
LS9 9DR,LS15 8ZA,6.59
PH1 2ER,PH1 5UX,3.43
MK6 2JG,MK9 3AG,1.74
MK13 9EW,MK9 3AG,3.55
B64 2DS,B65 0DU,-1.0
NP4 6SL,NP4 6LR,2.1
ME8 8LF,DA9 9SJ,33.68
RM15 6HY,RM20 1WN,6.05
NP13 1EX,NP23 4PS,9.02
EH22 5RW,EH16 5PB,11.79
SN3 3DT,SN1 1BB,2.71
CT17 0BY,CT16 1BD,2.19
CT9 5TW,CT10 2FF,3.24
LS14 5QD,LS25 1AA,8.08
S13 9DJ,S1 2HL,7.82
S20 8EJ,S20 7PN,2.4
ME8 0HG,DA9 9SJ,33.26
LE10 2PA,LE10 1DA,3.13
CR0 9DB,CR0 1TJ,8.16
B75 7LD,B72 1PQ,-1.0
NP20 2FT,NP20 1LP,1.99
WF17 5AY,LS11 8LL,8.86
WF12 7EQ,LS11 8LL,8.13
CR0 2AE,SW17 9PB,8.97
PE22 9QJ,PE21 6EE,13.19
DH2 3JA,DH3 3BA,2.09
IP14 2AS,IP33 1DW,26.05
GU16 7AF,GU14 7SD,4.51
CM16 6JR,CM16 4DA,5.53
TF3 1QH,TF3 4AE,4.93
BS37 8QS,BS37 4AX,4.15
PE2 8PN,PE1 1NH,4.23
M40 0MQ,M9 4DH,-1.0
S75 2SP,WF2 0XG,23.65
BD9 6JH,BD8 9TP,2.85
L13 4DP,L24 2WZ,16.36
PE2 5UY,PE2 5TD,1.48
DL3 0DB,DL1 4PJ,6.75
B13 0TT,B4 7TE,8.11
S5 8NT,S6 4HL,2.67
RM15 6QP,RM20 1WN,6.08
RM15 6QP,RM20 1WN,6.08
HD6 3PZ,HX1 1RU,8.28
L4 3SX,L9 4RF,3.02
PE31 6TS,NR21 9AP,15.67
IG3 9EJ,IG1 1DS,4.19
NE10 8AT,NE1 7AF,9.4
SS17 7JW,SS17 7LL ,1.21
M43 7JD,OL6 7JE,4.86
DN15 7EL,DN15 6SE,3.02
OX16 0HP,OX16 5UN,1.4
SA14 9ST,SA14 9UY,5.11
G33 1NF,G31 4EB,3.13
PO7 6HH,WF2 0XG,376.12
FK3 8LZ,FK3 8AS,1.57
WS12 4JE,WS12 1BT,2.44
OL1 4LE,OL2 5QD,4.15
NE32 5BP,NE33 1HZ,6.44
UB8 3SQ,UB8 1JY,3.95
BB9 9PA,BB11 1BA,9.55
NP44 3PQ,NP20 1LP,8.74
CF62 6JZ,CF63 4HH,2.66
KA3 1RB,KA1 1NP,3.35
E3 4UA,E15 1XA,4.21
LS22 6JX,LS22 6JG,0.94
BN17 5EE,BN17 5EA,0.5
PO30 1NU,PO30 1TJ,1.83
E16 4BA,E15 1XA,4.26
MK77NB,HP20 1ST,31.85
NR31 0EN,NR30 2AX,2.32
HP199NL,HP1 1DX,29.79
NE15 6TU,NE4 8BE,2.48
BT20 5ET,BT23 4EU,-1.0
G81 6BA,G81 2TL,3.33
G22 6JA,G5 0DP,6.48
SY16 1JT,SY16 2LU,1.82
HD2 1HX,HD1 2QB,4.17
PE13 1QB,PE13 1AR,1.52
DD11 5AD,DD11 1HY,1.83
NE10 8HU,NE1 7XG,9.41
G67 3EB,G67 1NG,4.85
RM13 9LR,RM1 3RL,10.23
IV18 0BL,IV2 3PP,38.75
NN8 3RY,NN8 1EZ,3.72
G53 6JL,G53 6QR,2.23
G33 6AU,G2 8AH,12.2
NE23 3FR,NE23 6UT,4.12
BS16 4PA,BS15 8LP,1.55
BS15 3BX,BS31 1DS,7.2
HA9 9JQ,NW6 6JE,8.61
BS16 1VW,BS16 2EA,-1.0
HD5 9QU,HD1 2QB,3.04
ST15 0NG,ST15 8AJ,2.37
SG8 9JD,SG8 9AA,1.7
LS11 8UD,LS11 8LL,2.97
SS6 8EG,SS6 7EF,1.63
KT19 0BW,KT3 4BP,5.62
ME5 0QS,ME4 4HY,5.42
DN22 6TU,WF2 0XG,73.55
G53 7SW,WF2 0XG,371.74
NR4 6LW,NR1 1WR,4.51
ST10 2PA,ST15 8AJ,16.56
S60 3LN,S66 1AA,4.28
HU9 4HR,HU9 2AA,4.57
BT62 3BA,BT62 3PL,-1.0
DT3 5RL,DT4 8PJ,4.51
BS7 0DL,BS1 3EA,7.15
DN7 4NB,DN2 4PE,8.77
BD17 7FB,WF2 0XG,29.81
WF12 7LP,WF2 0XG,10.3
NN29 7JX,NN10 6FH,14.18
YO32 2GH,WF2 0XG,56.47
NP19 9BY,NP19 4TX,3.04
SO183LE ,SO23 9AY,21.35
ME7 2QZ,DA9 9SJ,26.91
BT47 3YJ,WF2 0XG,-1.0
DE56 1TH,DE56 1PS,2.53
DN35 8PW,DN35 8HF,0.62
SM6 0PY,SM1 1JQ,4.82
CM7 1FS,CM7 1RB,0.73
PE25 1FH,PE25 3NR,3.02
M24 4HS,M24 4EL,2.16
SN2 2QZ,SN1 1LD,5.26
CT12 6NH,CT11 9AG,3.81
B92 9HN,B91 3BG,5.09
BH11 8JB,BH9 2AQ,4.51
FK7 7ES,FK8 2EE,6.03
LS13 1JN,LS18 5LJ,3.72
S13 8FH,S1 4PB,6.92
L9 9DP,L9 4RF,1.41
WF12 0AR,WF13 3HN,3.08
S17 4HB,WF2 0XG,54.22
M43 7YB,M43 7AD,0.3
NE32 3RJ,NE3 2PA,19.88
DT2 0AG,DT1 1DQ,13.76
B28 0EH,B27 6BH,4.2
NE5 4ED,NE3 2FP,3.22
LS11 7JL,LS11 8LL,2.62
S73 8LX,S73 8DA,1.24
BT19 7RE,BT19 7HB,-1.0
CM12 0FE,CM2  6FD,15.41
ML7 5NY,EH48 1PG,11.43
BT11 9HG,BT1 1DD,-1.0
HU5 5HB,HU3 4EH,3.14
DE13 9TL,DE11 8JE,12.09
BT17 0RJ,BT11 9AE,-1.0
YO25 4NH,YO25 6QG,11.39
SS11 8PD,CM12 9BS,11.54
BT12 7AU,BT1 1DD,-1.0
KA7 2NF,KA7 1QL,1.86
NG9 2LT,NG9 2LF,0.48
BT45 7XR,BT80 8NB,-1.0
PO2 9BU,PO2 0LN,0.73
PE30 3WE,PE30 1DP,3.39
DT2 8JU,DT6 3LF,39.1
SO19 5LQ,SO14 7NN,5.61
BN17 5TF,BN17 5EA,12.17
RM3 8BT,RM5 3NX,5.02
CF63 4NP,CF63 4HH,0.98
E13 8SA,E6 7ER,5.54
E16 2DJ,E6 7ER,4.16
M9 6QQ,OL6 7JE,12.37
PO12 4QX,PO12 1DR,2.54
BR8 5AG,BR8 7AH,344.26
PR5 4DE,PR1 8HJ,5.66
LE2 9RG,LE18 1PA,5.61
CT11 9PT,CT10 2FF,3.35
BS14 8LG,BS4 2 QU,181.46
CA28 9LB,CA28 7JN,2.37
RM9 6MP,RM20 2ZP,-1.0
RM19 1TJ,RM20 2ZP,3.88
CR5 2NG,CR0 1TJ,7.92
LA2 6AQ,CR0 1UY,413.27
L12 4YS,L13 5UX,4.4
S71 5DU,S73 8DA,5.12
ST19 9PL,ST16 2HN,16.92
SR7 8HL,SR7 7DR,3.36
B98 7PS,B97 4EX,3.67
IP1 2BG,IP1 3EE,1.64
CH1 1RX,CH1 3JJ,2.1
CF24 2BH,CF24 3LN,2.58
SR8 5NH,SR8 1AE,1.26
SO50 5GR,SO50 5SG,0.76
PE28 2EQ,CB1 1ER,29.46
BH8 9RH,BH23 1BN,7.14
ST3 5BS,ST3 2JA,1.61
DY5 2XD,DY5 1QX,2.78
OL164AQ,M43 7AD,22.03
G69 7BD,G2 8AH,9.01
LS11 8JA,LS10 1ET,2.27
KA20 4AN,KA21 5ED,2.85
ST12 9JQ,ST15 8AJ,6.33
CT19 5HJ,CT20 1SB,1.88
P02 7HE,PO1 1HG,-1.0
PO1 3JH,PO1 1HG,1.44
BN2 4ND,RH16 4LJ,22.54
AL7 4AB,AL8 6HA,3.16
PL25 4BT,PL25 5ER,1.68
PL25 5RA,PL25 5ER,1.49
NE11 9AR,NE11 9XZ,3.58
NE9 7BB,NE34 7LZ,13.2
DA17 6HH,DA8 1RG,2.49
LU7 3PG,LU7 1DH,1.66
PR1 9SY,PR1 8HJ,4.77
PL7 4RE,PL9 7AS,6.66
IP31 2XD,IP33 1DW,17.59
LL11 1AB,LL11 1DB,-1.0
SR5 2EF,SR5 3XG,2.29
SR6 0AQ,SR5 3XG,4.41
NE29 9HH,NE29 6RX,2.73
UB5 6WS,HA1 1LA,7.78
CT14 0FF,CT14 6HE,3.25
TS17 8NB,TS17 9FD,1.4
L31 5NF,L31 0AE,1.78
TQ2 8AS,TQ4 5DN,10.76
BN27 1LS,BN23 7RT,13.65
LS12 5JW,LS1 6AW,5.65
LS9 6HY,LS15 8ZA,5.79
G43 1TX,G41 3NN,0.32
CO2 9FS,CO1 1LJ,4.5
PE218HZ,PE21 9BD,2.42
RM15 6QP,RM20 1WN,6.08
WV12 5YX,WV11 1SZ,4.04
WS5 4EY,WS9 8QP,7.64
WS9 0DQ,WS9 8QP,1.09
MK3 5EL,MK4 4DD,3.56
M34 5JT,M34 3JP,2.08
M34 3FW,M34 3JP,1.21
B27 7LA,B27 6BH,2.23
ST19 5LL,WS11 1EB,8.4
LE67 5BL,LE11 3XA,12.82
RH11 8UX,RH10 1ES,3.45
DY2 8HY,DY1 1PJ,1.86
RH1 5BD,RH1 1RD,3.48
DE22 3BB,DE1 2PL,3.62
DH3 2AL,DH3 2QH,2.36
LS11 0LJ,LS26 0AF,11.23
PE3 7HG,PE3 8DN,2.27
SP1 3DX,SP1 2AF,3.11
ME8 8RG,ME7 3PB,3.58
RM10 7ST,RM1 3RL,6.61
E6 3NQ,IG1 1DS,5.95
L5 6SU,L5 6SP,1.11
IG10 4AP,IG10 1ET,3.39
SS0 7BD,SS1 1LL,1.38
SS14 1JA,SS14 1EB,1.97
BT43 5NW,BT43 6AH,-1.0
LS27 0AB,LS27 9BP,1.43
DN14 6TG,DN14 5EZ,0.81
DN4 6BE,DN1 1TA,5.78
PA14 5AY,PA14 5AU,1.44
SS14 1NA,SS14 1EB,1.38
SS15 6EY,SS14 1BX,4.66
DL6 1JP,DL7 8PP,0.8
ME7 4NG,ME4 4HY,2.94
LS13 1AX,LS13 2ET,1.82
BN18 0LF,PO21 1PQ,12.75
BB12 6AU,BB11 1BA,3.63
NN8 4EN,NN8 1EZ,1.38
DA5 1RQ,DA6 7JJ,2.17
SK8 2ET,SK1 1QN,3.37
NG6 9DL,NG1 3QE,5.73
TN23 3FJ,TN23 1YB,2.35
S74 9JW,WF2 0XG,33.54
ME5 8YJ,DA9 9SJ,27.22
ME3 8SJ,DA9 9SJ,26.35
SO23 7NX,SO23 9AY,6.76
CT2 7EQ,CT1 2RY,2.09
LU16 1BF,LU5 4RH,-1.0
WD3 1JF,WD3 1AQ,1.48
NR14 7SX,NR2 1QD,9.82
DN5 9RU,DN1 1TA,-1.0
SR7 8SR,SR8 1AE,-1.0
B77 1EF,B79 7HL,3.03
SS1 2BZ,SS1 1LL,1.84
RM7 0LR,RM12 4UH,4.74
CV12 8AT,CV12 8LP,1.86
B71 1BD,B70 7NW,3.43
B92 8SJ,B8 2EP,8.56
GL51 3PF,GL50 1JZ,3.15
RM13 7AT,RM12 4UH,4.9
M26 1HW,BL4 9DS,2.39
NE392FB,DH8 5QG,14.01
S20 4TL,S20 7PN,3.03
S12 4BX,S6 4HL,14.27
DL5 4HF,DL5 4DS,0.66
SA1 7HA,SA1 3AF,4.28
BB9 7SX,BB9 9SL,0.79
NP23 6PP,NP23 6HL,0.9
RG21 3LH,RG21 7LG,5.1
WF11 0PQ,WF8 1BA,4.43
PL1 5DE,PL1 1RW,2.31
TS6 0EF,TS6 0AB,1.36
TW19 7EN,TW18 4QB,4.72
TW16 7SD,TW18 4QB,8.82
EH13 9DP,EH16 5PB,5.97
SS17 7DZ,SS17 7LL ,0.74
SS17 7BP,SS14 1BX,10.58
SA1 8EZ,SA5 4BB,7.35
WA9 5NA,WA12 9AN,10.79
EH54 6BL,EH14 2SW,21.73
M11 3LH,M11 1DA,2.39
PO1 1NT,PO6 3BZ,8.25
SM5 1AY,SM1 1JQ,4.05
SM6 8QQ,SM1 1JQ,5.48
BR3 4SB,SE20 8RW,1.08
WV10 9JQ,WV1 3HG,5.08
WS8 7QA,WS13 6NQ,9.8
M24 6HR,M4 3AB,16.83
B62 9BP,B4 7TE,11.61
LS14 1LD,LS14 6JD,1.81
BN3 5AA,BN3 3YB,1.1
TS14 6QW,TS14 6AF,0.93
DG8 0PP,DG9 7ED,15.53
BT65 4AY,BT66 6AQ,-1.0
G83 9BP,G82 1LL,4.89
